image,model,fg_fraction,soft_edge_fraction,components,holes,consensus_iou
textile-tassel-fringe-03.jpg,isnet,0.372,0.02727,1,5,0.992
textile-tassel-fringe-03.jpg,u2net,0.3609,0.03583,2,2,0.9535
textile-tassel-fringe-04.jpg,birefnet,0.419,0.01209,6,1,0.9967
textile-tassel-fringe-04.jpg,birefnet-lite,0.4182,0.01355,5,3,0.9968
textile-tassel-fringe-04.jpg,inspyrenet,0.4184,0.01998,7,6,0.9964
textile-tassel-fringe-04.jpg,isnet,0.4196,0.01682,1,7,0.9956
textile-tassel-fringe-04.jpg,u2net,0.4197,0.02503,1,1,0.9904
textile-shawl-fringe-03.jpg,birefnet,0.0806,0.02393,8,22,0.329
textile-shawl-fringe-03.jpg,birefnet-lite,0.0933,0.06291,61,64,0.2919
textile-shawl-fringe-03.jpg,inspyrenet,0.0965,0.11481,10,28,0.282
textile-shawl-fringe-03.jpg,isnet,0.0237,0.12874,80,7,0.2659
textile-shawl-fringe-03.jpg,u2net,0.0148,0.07309,3,5,0.1165
textile-dhurrie-patterned-01.jpg,birefnet,0.9599,0.00973,1,0,0.7006
textile-dhurrie-patterned-01.jpg,birefnet-lite,0.9295,0.01226,1,1,0.72
textile-dhurrie-patterned-01.jpg,inspyrenet,0.9562,0.02664,3,6,0.7033
textile-dhurrie-patterned-01.jpg,isnet,0.1558,0.37002,450,135,0.167
textile-dhurrie-patterned-01.jpg,u2net,0.6664,0.22473,3,21,0.7098
textile-blockprint-patterned-03.jpg,birefnet,0.6055,0.0119,1,0,0.9092
textile-blockprint-patterned-03.jpg,birefnet-lite,0.6664,0.00905,1,0,0.9838
textile-blockprint-patterned-03.jpg,inspyrenet,0.6667,0.01151,2,0,0.9838
textile-blockprint-patterned-03.jpg,isnet,0.5528,0.51141,127,1439,0.8274
textile-blockprint-patterned-03.jpg,u2net,0.655,0.0245,1,0,0.9528
textile-pallu-fringe-01.jpg,birefnet,0.4621,0.00764,1,2,0.9888
textile-pallu-fringe-01.jpg,birefnet-lite,0.4606,0.00804,2,1,0.9892
textile-pallu-fringe-01.jpg,inspyrenet,0.4667,0.02365,11,4,0.9783
textile-pallu-fringe-01.jpg,isnet,0.4399,0.30244,26,57,0.941
textile-pallu-fringe-01.jpg,u2net,0.4434,0.03923,3,4,0.9502
textile-pallu-fringe-02.jpg,birefnet,0.3132,0.0091,2,3,0.9859
textile-pallu-fringe-02.jpg,birefnet-lite,0.3075,0.01393,3,6,0.9868
textile-pallu-fringe-02.jpg,inspyrenet,0.3124,0.01797,7,17,0.9872
textile-pallu-fringe-02.jpg,isnet,0.3105,0.01726,5,7,0.9894
textile-pallu-fringe-02.jpg,u2net,0.3106,0.01748,1,1,0.9875
pottery-blackware-darkfloor-01.jpg,birefnet,0.185,0.01158,9,0,0.5379
pottery-blackware-darkfloor-01.jpg,birefnet-lite,0.175,0.01162,9,0,0.5577
pottery-blackware-darkfloor-01.jpg,inspyrenet,0.1518,0.04077,30,8,0.6474
pottery-blackware-darkfloor-01.jpg,isnet,0.1,0.18002,35,8,0.6356
pottery-blackware-darkfloor-01.jpg,u2net,0.0775,0.0433,4,0,0.4255
pottery-earthen-sharp-02.jpg,birefnet,0.3163,0.01862,3,4,0.9692
pottery-earthen-sharp-02.jpg,birefnet-lite,0.2967,0.06221,3,6,0.9246
pottery-earthen-sharp-02.jpg,inspyrenet,0.32,0.03918,2,8,0.9717
pottery-earthen-sharp-02.jpg,isnet,0.3227,0.0452,2,5,0.9702
pottery-earthen-sharp-02.jpg,u2net,0.3237,0.03647,2,2,0.9612
textile-blockprint-patterned-02.jpg,birefnet,0.0857,0.01172,1,4,0.2059
textile-blockprint-patterned-02.jpg,birefnet-lite,0.2583,0.00559,1,0,0.1353
textile-blockprint-patterned-02.jpg,inspyrenet,0.2665,0.15476,29,33,0.1313
textile-blockprint-patterned-02.jpg,isnet,0.1218,0.26632,152,105,0.1668
textile-blockprint-patterned-02.jpg,u2net,0.0248,0.03392,2,1,0.1383
pottery-potter-indoor-01.jpg,birefnet,0.1109,0.00493,1,0,0.7502
pottery-potter-indoor-01.jpg,birefnet-lite,0.0986,0.00411,1,0,0.6794
pottery-potter-indoor-01.jpg,inspyrenet,0.0759,0.02663,2,0,0.6828
pottery-potter-indoor-01.jpg,isnet,0.1114,0.0364,1,0,0.7566
pottery-potter-indoor-01.jpg,u2net,0.1163,0.01512,1,0,0.721
